client_id,birth_date,district_id,gender
1,13-02-1998,18,706213
2,04-02-1968,1,450204
3,09-12-1967,1,406009
4,01-12-1979,5,561201
5,03-09-1987,5,605703
6,22-09-1942,12,190922
7,25-01-1952,15,290125
8,21-04-1965,51,385221
9,16-10-1958,60,351016
10,01-05-1966,57,430501
11,22-10-1977,57,505822
12,20-02-2004,40,810220
13,29-07-2001,54,745529
14,22-08-1969,76,425622
15,28-10-1945,21,185828
16,25-02-1942,21,190225
17,13-10-1957,76,341013
18,05-06-1958,76,315405
19,28-12-1965,47,421228
20,04-01-2002,46,790104
21,29-12-1979,12,526029
22,11-12-1996,1,696011
23,29-05-1996,1,730529
24,29-09-1966,43,395729
25,23-06-1966,21,395423
26,20-06-1996,74,695420
27,26-05-1993,54,665326
28,29-09-1968,1,450929
29,11-11-1978,30,515911
30,09-12-1984,74,576009
31,09-02-1985,68,620209
32,28-07-2003,52,800728
33,04-02-1976,73,486204
36,17-09-2005,7,785717
37,10-08-1993,7,700810
38,23-09-2000,36,735723
39,25-01-1991,68,680125
40,22-03-1984,5,575122
41,27-08-1991,22,680827
42,17-08-1958,68,350817
43,28-10-1943,75,201028
44,11-03-2004,38,775111
45,26-08-1975,20,520826
46,30-03-1967,19,405130
47,14-07-1957,76,340714
48,09-02-1963,16,400209
49,11-07-1986,72,595511
50,30-09-2005,39,785730
51,02-02-2007,36,796202
52,12-12-1947,32,241212
53,05-05-2000,64,770505
55,18-11-1975,45,485918
56,31-03-1983,21,600331
57,17-02-1989,21,616217
58,29-06-1954,1,275429
59,18-02-1980,1,570218
60,19-02-2003,67,800219
61,06-10-1975,16,485806
62,08-12-1955,77,321208
63,04-06-1982,4,590604
64,22-04-1949,20,260422
65,27-07-1970,50,435527
66,10-01-1979,1,516110
67,11-01-1960,29,326111
68,14-12-1969,43,461214
70,22-12-1948,70,251222
71,06-04-1954,70,275206
72,13-01-1946,47,230113
73,20-02-1947,22,240220
74,26-09-1952,22,255726
75,19-11-2004,64,775919
76,01-12-1994,36,676001
77,18-04-1983,1,565218
78,13-08-1971,16,445613
79,10-05-1996,37,695310
80,25-04-2006,64,795225
81,29-04-1999,8,760429
82,25-02-2007,8,796225
83,25-02-2006,1,786225
84,05-05-2002,1,790505
85,27-08-1984,1,610827
86,20-09-1996,1,695720
87,17-01-1974,72,466117
89,05-07-1978,1,515505
90,17-08-1998,52,750817
91,07-08-1963,63,400807
92,12-08-1993,74,665612
93,16-02-1948,3,250216
94,09-09-1970,43,470909
95,03-10-1979,43,525803
96,01-03-1995,74,720229
97,28-11-1988,26,651128
98,04-07-2000,33,735504
99,26-01-1996,33,730126
100,11-10-1969,44,425811
101,23-01-1966,68,430123
102,10-11-1985,74,585910
103,11-07-1978,74,550711
105,26-05-2003,31,800526
106,01-03-1996,68,686230
107,23-06-1995,1,720623
108,13-09-1986,17,630913
110,13-06-1994,2,675413
112,25-01-1958,1,350125
113,15-10-1967,1,405815
114,24-08-1996,74,695624
115,24-12-1992,74,691224
116,28-01-1965,74,420128
117,20-11-1963,74,365920
118,19-07-1945,55,220719
119,28-04-1949,55,225228
120,10-05-1999,1,760510
121,29-12-2005,41,786029
122,13-01-1991,35,636113
123,12-02-1992,11,690212
124,21-09-1990,44,670921
125,31-10-1959,37,361031
126,27-11-1956,37,295927
127,27-02-1978,21,506227
128,04-06-2000,63,735404
129,31-07-1974,64,475531
130,14-02-1965,53,420214
131,31-03-2004,53,775131
132,26-01-1976,36,530126
134,18-01-1955,6,320118
135,10-11-1965,6,385910
136,26-03-1948,55,215126
137,14-09-1946,60,230914
138,21-12-1999,54,726021
139,25-09-1986,8,595725
140,06-06-1984,8,610606
141,02-11-1948,31,251102
142,21-06-1960,68,370621
143,09-07-2001,27,780709
144,06-12-1981,65,581206
145,14-02-2001,55,780214
146,19-02-1989,31,616219
147,02-01-1961,21,336102
148,25-12-1963,21,401225
149,27-06-1971,55,480627
150,27-11-2007,2,805927
151,23-11-1998,51,715923
152,02-02-1973,29,456202
153,12-04-2008,13,815212
154,27-08-1956,74,330827
155,13-05-1966,74,395313
156,22-09-1957,54,305722
157,09-09-1970,52,435709
158,03-09-1972,40,455703
159,10-09-1961,40,380910
160,26-06-1969,64,425426
161,07-12-1970,34,436007
162,17-10-1964,65,411017
163,12-06-1956,74,330612
164,04-06-1989,70,625404
165,08-11-1991,22,681108
166,22-12-1988,22,616022
167,18-06-2005,38,785418
168,05-01-2004,24,766105
169,12-09-1976,38,530912
170,16-08-1973,38,465616
171,25-06-1952,51,290625
172,05-12-1962,51,356005
173,08-02-1946,21,186208
174,10-11-2001,10,781110
175,13-07-1983,31,600713
176,11-03-1952,4,290311
178,22-12-1983,8,601222
179,29-12-2003,43,801229
180,19-01-2005,73,820119
181,06-07-1990,76,670706
182,13-09-1986,76,595713
183,19-05-2005,1,785319
184,05-06-1995,1,720605
185,30-05-1977,77,540530
186,22-04-1988,46,615222
187,23-08-1965,58,420823
188,02-09-1983,64,600902
189,10-08-1942,11,190810
190,31-12-1974,37,476031
191,03-09-1977,37,540903
192,28-02-1994,70,710228
193,01-05-1985,1,620501
194,20-02-1952,28,246220
195,18-11-1942,74,191118
196,25-08-1954,74,275625
197,25-04-1956,30,330425
198,14-07-1999,60,760714
199,21-06-1946,29,230621
200,13-03-1955,29,285113
201,19-10-1957,17,305819
202,21-01-2004,29,766121
203,10-06-1985,31,620610
204,17-08-1994,31,675617
205,15-08-1969,4,425615
206,13-06-1990,59,635413
207,20-05-1955,46,320520
208,25-08-1967,13,405625
209,20-08-1958,13,350820
210,30-11-1962,66,391130
211,28-08-1972,66,455628
212,10-02-1998,52,750210
215,24-09-1990,71,670924
216,30-01-1983,1,600130
217,22-02-2002,59,746222
218,23-03-2007,1,805123
219,02-06-1991,60,645402
221,25-04-2004,21,775225
222,29-08-1999,47,725629
223,27-04-1979,43,525227
224,11-05-1978,77,550511
225,10-05-1959,32,360510
226,16-06-1965,1,420616
227,18-02-1954,52,266218
228,16-05-1983,48,565316
229,22-07-1992,76,690722
230,10-05-1994,74,675310
231,18-02-1964,41,410218
232,17-08-1948,55,215617
233,03-02-1986,69,586203
234,21-06-1978,69,550621
235,28-10-1970,44,435828
236,01-09-1984,70,610901
237,22-04-1996,70,695222
238,28-01-1989,6,616128
239,10-11-2001,1,745910
240,17-08-1956,34,295617
241,23-01-1982,70,590123
242,01-10-1988,17,615801
243,10-02-1977,63,540210
246,28-02-1998,67,706228
247,08-05-1980,1,570508
248,12-02-1997,61,696212
249,05-05-1993,61,700505
250,25-01-2007,8,796125
251,03-05-2003,54,765303
252,01-11-1996,37,695901
253,12-07-1974,48,475512
254,30-05-1986,28,630530
255,11-12-1978,27,516011
256,27-04-1990,73,635227
257,04-01-1970,22,426104
258,31-05-1960,22,370531
259,08-06-1989,31,660608
260,24-04-1989,31,625224
261,07-02-1965,38,376207
262,25-11-1968,77,451125
263,20-05-1985,68,620520
264,22-08-2001,28,780822
265,07-03-1960,72,335107
266,28-10-1994,19,675828
267,12-06-1990,37,670612
268,02-07-2009,39,825502
269,03-02-1951,15,236203
270,08-03-1970,46,470308
271,27-09-1972,46,455727
272,25-12-1971,70,446025
273,15-07-1999,27,725515
274,25-01-1998,17,706125
275,12-01-1946,1,186112
276,11-06-1980,1,570611
277,28-01-1989,1,616128
278,27-02-2000,22,726227
279,16-05-1993,22,700516
280,18-02-1997,45,696218
282,24-04-1965,73,385224
283,04-11-1956,73,331104
284,06-08-1997,10,740806
285,03-06-1977,72,540603
286,18-06-1979,72,525418
287,09-09-2003,50,800909
288,21-04-1985,6,620421
289,27-03-1981,54,580327
290,12-01-1982,72,590112
291,27-06-1982,72,555427
292,06-11-1985,15,585906
293,27-09-1966,69,430927
294,21-03-1991,58,680321
295,27-03-1962,12,390327
296,01-03-1997,65,740301
297,15-05-1951,65,245315
298,13-06-1944,65,210613
300,30-09-1984,1,575730
301,10-01-1965,28,420110
302,23-02-1994,56,710223
303,06-05-1969,74,460506
304,11-05-1961,19,345311
305,08-06-1961,46,380608
308,12-08-2003,68,765612
309,14-02-1997,37,696214
310,16-04-1973,11,500416
311,16-11-1957,64,305916
312,03-07-1947,2,240703
313,11-07-1969,24,425511
314,22-03-1968,24,450322
315,01-05-1990,54,670501
316,28-04-1978,75,550428
317,06-12-1984,64,576006
318,02-06-1970,15,435402
319,04-06-1956,19,295404
320,12-11-1957,19,341112
321,24-12-1970,47,436024
322,01-02-1956,38,330201
323,04-06-1965,38,385404
324,03-12-1983,3,601203
325,21-02-1983,3,600221
326,18-11-1994,27,675918
327,13-10-1991,27,681013
328,24-03-1945,1,185124
329,03-12-1987,11,641203
330,05-10-1971,65,445805
331,02-03-1965,1,420302
332,25-07-2001,29,780725
333,19-10-1994,38,711019
334,31-10-1992,32,691031
335,22-09-1994,73,675722
336,11-04-1991,39,645211
337,08-05-1980,39,570508
338,19-08-1978,8,515619
339,30-07-1989,1,660730
340,19-10-1997,1,705819
341,16-03-2000,69,770316
342,30-08-1999,69,725630
343,19-11-1942,44,191119
344,16-09-1990,54,635716
345,07-12-1976,17,531207
346,02-01-1988,17,606102
347,13-12-1982,71,591213
348,24-03-1980,71,535124
349,27-07-1954,39,275527
350,02-06-1952,25,255402
351,01-05-1996,1,730501
352,27-08-1963,56,400827
353,26-10-1988,7,651026
354,27-06-1949,49,225427
355,31-05-1953,49,300531
356,07-02-2007,1,796207
357,30-03-2002,1,790330
358,26-08-1986,7,595626
359,16-02-1993,66,700216
360,27-04-1966,49,430427
361,25-07-2004,74,775525
362,27-06-1977,35,505427
363,01-07-1965,35,420701
364,05-02-1970,54,426205
365,09-01-1953,1,300109
366,10-01-1964,1,366110
367,03-11-1990,60,635903
368,14-10-1991,60,681014
369,06-01-1958,7,306106
370,05-03-1983,71,565105
371,16-07-1965,4,420716
372,03-04-1955,34,320403
373,28-02-1959,16,360228
374,14-06-1990,26,670614
375,29-11-1996,61,695929
376,08-03-2000,14,735108
378,15-05-2001,50,780515
379,13-12-2010,50,836013
380,19-01-1996,41,730119
381,26-03-2004,73,775126
382,30-06-2001,73,780630
383,17-07-1966,15,395517
384,08-10-1958,15,351008
385,24-03-1971,45,480324
386,21-08-2003,62,800821
387,06-06-1950,76,270606
388,30-12-1977,36,506030
389,30-08-2001,47,745630
390,27-03-2004,47,775127
391,22-07-1960,47,335522
392,01-06-1977,74,505401
393,31-08-1979,74,560831
394,18-07-1951,52,245518
